0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
OKE,2.6855,2.7667,2.9267,3.0541,3.2856,2.9717,2.7182,3.1198,0.9638,1.2236,0.6703,2.6801,1.16,1.2258,1.1375,1.136,3.3799,1.2252,1.0885,1.1872,1.1462,1.2781,1.0538,1.069
OXY,3.3779,2.6074,2.6447,2.6241,2.9674,3.0721,2.5871,2.9821,1.3507,1.0945,1.2721,3.3753,1.4113,1.1523,1.3021,1.2775,3.2253,1.2958,1.1677,1.2654,1.1561,1.4458,1.1959,1.1641
PSX,2.0883,1.8299,1.8588,1.8736,2.243,2.2351,1.88,1.969,1.8048,1.2841,1.7471,2.137,1.4824,1.3236,1.2467,1.2365,2.1851,0.9853,1.1918,0.9054,0.9695,1.0399,1.0387,1.2299
PXD,2.2305,2.1746,2.1815,2.1352,2.2418,2.2325,2.2638,2.2082,1.7079,1.3825,2.0632,2.2416,1.7414,1.3738,1.4437,1.4338,2.2989,1.0344,1.3117,0.9633,1.1495,1.0226,1.2845,1.3154
SLB,2.6788,2.4727,2.5208,2.5035,2.7717,2.7035,2.8774,2.6394,2.4257,2.3346,2.7874,2.6665,2.7954,2.252,2.1446,2.1147,2.7426,1.8044,1.9579,1.7383,1.7614,1.7762,1.8002,1.9452
VLO,2.482,2.1237,2.1508,2.1043,2.5574,2.6492,2.4473,2.2999,2.6418,1.8235,2.6548,2.4861,2.4959,1.8664,1.9335,1.8857,2.4373,1.415,1.8275,1.3394,1.4836,1.473,1.612,1.8517
WMB,1.5828,1.7331,1.7443,1.7996,1.8555,1.7715,1.1496,1.8024,0.9051,1.3061,1.0167,1.5508,1.474,1.3318,1.3639,1.3553,1.8642,1.602,1.3231,1.6489,1.5085,1.8047,1.4344,1.3882
XOM,1.595,1.4894,1.5181,1.4947,1.6877,1.6757,1.5145,1.575,1.4113,1.2853,1.4665,1.6164,1.2942,1.2946,1.2004,1.1918,1.6728,1.0814,1.1329,1.0744,1.028,1.1221,1.0814,1.1079
AAL,1.6903,1.454,1.488,1.5496,1.6612,1.7998,2.5915,1.4085,2.7532,2.1394,2.632,1.7282,2.435,2.2603,2.11,2.1018,1.5576,1.7475,2.0383,1.7282,1.7722,1.6421,1.881,2.0471
ALK,2.1804,1.9297,2.0217,2.0888,2.1,1.9387,2.3259,2.0059,1.6356,1.2265,1.1113,2.1714,0.956,1.3109,1.3165,1.2897,2.1178,1.2578,1.3086,1.2839,1.3409,1.3351,1.2996,1.3108
